ageb,total
350A,280
351,75
3514,155
3518,147
3529,148
3533,68
354,263
3548,33
3552,51
3556,263
3560,182
3567,108
3575,287
3586,186
3590,103
3594,104
3603,69
3607,58
3611,17
3618,127
3626,7
363,202
3630,1
3637,17
3641,76
3645,9
365,110
3656,93
365A,25
3660,125
3664,153
3683,12
368A,194
369,367
3694,68
3698,66
370,342
3700,15
3707,118
3711,133
3715,3
3726,238
372A,121
373,335
3730,179
3734,63
3745,77
3764,39
3768,3
3772,93
378,250
3783,139
3787,94
3791,66
3798,227
3800,182
3804,61
3815,313
3819,70
382,206
382A,196
3834,119
384,145
3849,126
385,223
3853,116
3857,5
3861,36
3868,197
3872,249
3876,1
3891,89
3904,181
3919,168
392,263
3923,155
3938,82
3942,62
3950,12
3957,84
3961,450
3965,1
397,273
3976,472
397A,25
3980,371
3984,35
399,233
3995,96
400A,124
401,141
4014,204
4029,284
4033,216
4048,258
405,724
4052,213
4060,195
4067,227
4071,188
4075,47
4086,194
408A,5
4090,124
4094,79
4103,217
4107,30
4111,13
4118,149
4122,164
4126,8
4141,185
4156,22
416,138
4160,18
4175,122
4183,82
418A,96
4194,101
4198,354
4200,103
4207,118
4211,240
4215,133
4226,125
422A,250
4230,165
4234,206
4245,104
4249,196
4253,166
425A,153
4264,73
4268,132
4272,144
4279,108
4283,178
4287,119
4291,72
4298,251
4300,158
4304,118
4319,89
4323,69
433,199
4338,57
4342,137
4349,27
435,568
4353,236
4357,120
4361,95
4368,99
4376,221
4380,178
4387,174
4391,218
4395,166
4404,65
4408,124
4412,120
4423,86
4427,198
4431,294
4438,131
4442,168
4446,171
4450,149
4457,99
4461,173
4465,208
4476,208
447A,225
448,121
4480,202
4484,75
4495,145
4499,188
45,209
4501,173
4508,79
4512,299
4516,259
452,195
4520,77
4527,127
4531,16
4535,172
454,198
4546,573
454A,198
4550,351
4554,136
4565,605
4569,172
4573,199
457A,187
4584,323
4588,123
4592,136
4599,127
46,294
4601,256
4605,75
4616,237
461A,47
4620,136
4635,122
4643,106
464A,270
4654,72
4658,99
4662,126
4669,122
4673,106
4677,109
469,261
4705,147
471,282
471A,143
4724,72
4728,86
473,148
4732,125
474,190
4743,200
4762,67
4766,3
4777,43
4781,125
4796,65
479A,5
4809,142
4813,104
4821,18
4828,220
4832,92
4836,50
4840,11
4847,163
4851,205
4855,11
486,230
4866,215
486A,13
4870,103
4874,12
4885,170
4889,36
489A,188
490,158
4902,272
4910,2
4917,384
492,282
4921,181
4925,10
4936,313
4940,25
4944,1
4955,39
4963,9
496A,126
4974,34
4978,6
4989,126
4993,122
50,212
5008,287
5012,265
5027,191
503,137
5031,232
5046,113
505,210
5050,71
506,149
5065,161
507A,193
5084,537
5099,77
5101,177
5105,69
5116,195
5120,172
513,2
5135,146
5139,22
5143,93
514A,221
5154,100
5158,56
5162,31
5169,114
5173,224
5177,69
518,31
5188,152
5192,96
5196,128
5205,52
5209,111
521A,166
522,48
5224,227
524,219
5243,84
525,372
5251,56
5258,143
5262,32
5266,232
5270,58
5277,51
528,7
5281,161
5285,22
5296,66
529A,11
