ageb,total
0664,12
0665,92
0666,374
0667,3
066A,547
0670,118
0671,269
0672,4
0674,126
0675,189
0676,5
0679,217
067A,56
0683,97
0684,67
0685,94
0686,1
0687,38
0689,194
068A,86
0690,214
0691,17
0693,3
0694,432
0695,2
0698,85
069A,102
0700,191
0702,213
0706,346
0707,28
0710,344
0711,97
0715,233
0716,239
0717,167
0718,277
0719,1
0720,5
0721,158
0722,6
0725,28
0726,554
0727,8
072A,148
0730,12
0734,126
0735,28
0736,284
0737,5
0740,180
0741,13
0744,2
0745,7
0749,158
074A,128
0753,132
0755,253
0759,3
075A,248
0760,16
0763,148
0768,137
0769,16
076A,108
0772,220
0773,5
0774,316
0775,85
0778,5
0779,2
0782,322
0787,145
0789,291
0791,152
0792,30
0793,272
0794,80
0797,313
0798,162
0800,98
0804,1
0806,316
0807,287
080A,75
0810,502
0814,345
0815,1
0819,61
081A,5
0823,205
0824,27
0825,271
0826,3
0829,180
082A,102
0833,106
0834,85
0839,3
083A,373
0842,106
0843,63
0844,253
0848,59
0849,241
0852,54
0853,217
0857,53
0858,16
0859,526
085A,98
0861,118
0862,1
0863,495
0867,16
0868,1
0871,23
0872,20
0876,4
0878,154
0879,103
0880,50
0881,136
0882,292
0886,74
0887,88
0890,308
0891,126
0895,170
0896,184
0897,323
0903,3
0904,99
0908,7
0909,747
090A,140
0912,299
0913,132
0914,6
0918,781
0919,101
0922,336
0923,65
0927,1227
0928,62
0929,371
0931,853
0932,92
0933,315
0937,668
0938,1
0941,294
0942,420
0946,730
0947,129
0948,209
0950,175
0951,2
0952,406
0953,261
0956,143
0957,82
0960,119
0961,252
0965,117
0966,2
0967,284
0968,191
0970,23
0971,121
0972,65
0975,381
0976,4
097A,296
0980,57
0984,228
0985,1
0986,201
0987,110
098A,397
0990,201
0991,126
0994,168
0995,82
0999,115
099A,56
1003,168
1004,127
1005,151
1009,408
100A,138
1013,343
1014,122
1018,223
101A,405
1022,149
1023,86
1024,201
1028,8
1029,44
1032,520
1033,65
1037,97
1038,1
1039,204
103A,216
1041,204
1042,19
1043,716
1044,159
1048,22
1056,178
1058,5
1059,154
1060,3
1061,7
1062,196
1063,489
1066,4
1067,36
1071,78
1075,164
1076,3
1077,299
1078,102
1080,4
1081,689
1082,160
1085,1
1086,52
108A,199
1090,6
1094,80
1095,156
1096,565
1097,208
109A,4
1102,4
1103,11
1107,91
1108,318
1109,212
110A,155
1112,57
1113,400
1114,192
1118,41
1121,159
1122,4
1126,169
1127,51
1128,317
1129,367
1130,247
1131,11
1132,299
1136,1
1137,14
1140,2
1141,14
1145,52
1146,5
1147,623
1150,10
1151,161
1152,249
1155,116
1156,3
115A,31
1160,1
1164,56
1165,52
1166,217
1167,112
116A,380
1170,304
1171,95
1174,10
1175,3
1179,19
117A,19
1183,1
1184,53
1185,361
1186,27
1189,407
118A,7
1190,146
1193,219
1194,26
1198,1
1199,12
119A,98
1200,50
1201,16
1202,147
1203,115
1206,602
1207,22
1210,277
1211,6
1215,8
1217,263
1218,152
1220,34
1221,194
1222,210
1225,460
1226,63
1230,71
1234,1
1236,294
1237,130
123A,4
1240,1
1241,71
1244,181
1245,31
1249,1
1254,41
1255,31
1256,87
1259,149
125A,44
1260,158
1263,94
1264,156
1268,95
1269,43
1272,34
1273,16
1274,318
1278,282
1279,247
1282,162
1283,193
1287,33
1288,2
1289,408
1291,2
1292,1
1293,718
1294,80
1297,389
1298,80
1300,237
1304,126
1305,4
1306,364
130A,50
1310,481
1315,108
1319,283
131A,12
1323,57
1324,1
1325,653
1329,4
1330,85
1333,1
1334,8
1338,97
1339,19
133A,249
1344,714
1345,125
1349,26
1352,1
1353,17
1357,47
1359,1710
135A,245
1361,100
1363,520
1364,257
1367,1
1368,39
1371,4
1376,5
1378,4042
1379,106
1382,159
1383,191
1390,4
1395,121
1397,437
1398,194
1403,2
1404,29
1408,62
140A,674
1412,54
1414,272
1418,107
1419,14
1423,27
1427,12
1429,688
142A,79
1431,47
1433,361
1434,227
1437,13
1438,58
1441,125
1442,6
1446,81
1448,439
1449,146
1450,280
1452,385
1453,103
1456,33
1460,370
1461,50
1465,278
1467,796
1468,107
1471,513
1475,15
1476,16
147A,142
1480,47
1484,158
1486,89
148A,15
1490,228
1491,123
1494,11
1495,27
1499,6
1501,8
1503,18
1504,147
1507,49
1511,13
1512,2
1516,124
1518,89
1519,133
1520,10
1526,330
1527,60
1530,307
1531,27
1535,41
1537,399
1538,308
1542,175
1545,78
1546,1
1550,2
1554,183
1556,412
155A,114
1560,281
1564,132
1565,4
1569,86
1573,173
1575,331
1576,162
1579,287
157A,1
1583,102
1584,17
1588,57
158A,328
1592,167
1594,245
1595,70
1598,131
1599,15
1600,32
1605,167
1607,159
1608,226
1615,30
1616,3
161A,305
1620,2
1624,239
1626,1196
162A,23
1630,946
1631,87
1634,177
1635,32
1639,70
1643,32
1645,934
1646,118
1649,187
164A,4
1650,1
1653,165
1654,26
1658,8
165A,578
1662,52
1664,259
1665,15
1668,87
1669,396
1672,93
1673,218
1677,144
1679,111
167A,63
1681,27
1683,351
1684,75
1687,310
1688,139
1691,235
1692,63
1696,40
1698,164
1699,3
1700,102
1704,101
1705,94
1709,43
1713,5
1715,190
1716,53
1719,4
171A,141
1720,12
1723,153
1724,73
1728,4
172A,268
1732,2
1734,314
1735,104
1739,47
1742,133
1743,318
1747,17
1751,7
1753,267
1757,153
1758,52
1761,124
1762,32
1766,96
1768,443
1769,206
1770,60
1773,28
1776,33
1777,13
1780,82
1785,1
1787,216
1791,222
1792,5
1795,313
1796,32
179A,39
1802,52
1804,189
1805,12
1808,326
1809,116
1812,122
1813,83
1817,1
1819,107
181A,4
1823,185
1824,16
1827,17
1828,1
1831,2
1836,4
1838,218
1839,92
1840,5
1842,183
1843,50
1846,27
1847,9
1850,94
1851,24
1855,2
1857,421
1861,543
1862,23
1865,95
1866,10
186A,9
1870,14
1876,288
1877,38
187A,37
1880,506
1884,85
